"","W","PTS","O_PTS","FG%","3P%","TRB","AST","STL","TOV","O_FG%","O_3P%","O_TRB","O_AST","O_STL","O_TOV"
"840",1,121,106,0.483,0.333,49,23,8,10,0.404,0.375,53,18,7,12
"841",1,103,95,0.444,0.308,53,21,5,16,0.413,0.292,39,18,11,10
"842",1,109,98,0.514,0.409,43,13,7,16,0.452,0.423,36,17,10,12
"843",0,100,128,0.38,0.27,37,17,6,9,0.605,0.4,42,25,7,9
"844",1,114,102,0.475,0.5,47,21,7,20,0.482,0.158,29,21,10,12
"845",1,105,99,0.408,0.222,56,18,9,12,0.402,0.357,44,15,6,12
"846",1,118,109,0.472,0.296,51,24,10,13,0.481,0.476,35,14,9,16
"847",0,114,130,0.482,0.25,43,20,7,19,0.529,0.419,40,28,10,11
"848",1,116,105,0.466,0.522,48,21,10,12,0.477,0.524,39,19,8,15
"849",1,110,93,0.454,0.417,59,28,9,17,0.396,0.2,51,23,15,13
"850",1,118,110,0.477,0.286,53,17,4,13,0.45,0.381,35,17,10,10
"851",1,109,106,0.513,0.682,42,20,5,14,0.462,0.409,33,22,8,7
"852",0,121,126,0.518,0.4,39,16,4,17,0.553,0.478,36,24,7,11
"853",1,102,92,0.461,0.3,48,23,10,11,0.417,0.316,41,15,8,15
"854",1,112,104,0.5,0.348,43,23,7,12,0.48,0.45,36,15,9,12
"855",1,110,94,0.5,0.385,49,23,7,14,0.412,0.238,35,16,9,12
"856",0,95,111,0.425,0.19,40,18,10,11,0.482,0.455,46,28,8,16
"857",1,122,97,0.545,0.25,54,26,7,16,0.425,0.32,25,19,8,9
"858",0,95,100,0.407,0.286,46,21,7,18,0.435,0.333,41,23,8,13
"859",0,101,113,0.464,0.387,42,19,10,24,0.481,0.367,37,20,18,16
"860",1,110,79,0.476,0.321,53,29,9,13,0.358,0.167,38,16,9,11
"861",0,105,111,0.426,0.32,51,20,10,12,0.459,0.28,43,22,6,15
"862",0,96,108,0.382,0.333,45,20,5,11,0.485,0.25,52,27,5,10
"863",1,102,94,0.452,0.333,44,24,5,14,0.475,0.389,39,17,8,14
"864",1,88,86,0.397,0.321,43,21,4,8,0.395,0.353,49,11,4,10
"865",0,107,123,0.447,0.333,39,20,2,9,0.517,0.565,45,27,8,6
"866",0,74,87,0.333,0.4,43,13,11,12,0.407,0.25,52,19,9,15
