"","W","PTS","O_PTS","FG%","3P%","TRB","AST","STL","TOV","O_FG%","O_3P%","O_TRB","O_AST","O_STL","O_TOV"
"1085",1,134,94,0.605,0.476,46,32,5,12,0.412,0.3,29,23,6,9
"1086",1,122,114,0.512,0.444,34,27,9,7,0.493,0.462,39,26,5,18
"1087",1,118,104,0.512,0.409,43,28,12,7,0.407,0.323,43,27,5,15
"1088",0,101,105,0.47,0.364,45,26,2,11,0.448,0.353,41,20,6,6
"1089",1,108,94,0.43,0.333,50,16,12,17,0.353,0.25,50,21,12,20
"1090",1,102,86,0.427,0.286,59,26,13,19,0.341,0.36,46,21,10,21
"1091",1,121,97,0.57,0.476,38,29,13,14,0.446,0.385,42,22,7,21
"1092",1,100,99,0.473,0.31,36,20,8,18,0.457,0.304,41,22,13,17
"1093",1,97,90,0.404,0.25,49,16,10,12,0.393,0.25,55,24,6,14
"1094",1,112,110,0.455,0.393,44,24,6,9,0.466,0.359,43,19,3,12
"1095",1,114,104,0.5,0.483,43,33,9,12,0.488,0.368,42,20,7,13
"1096",1,107,85,0.519,0.444,46,27,6,18,0.359,0.294,49,19,10,15
"1097",1,107,99,0.481,0.471,44,31,6,21,0.457,0.273,36,27,13,16
"1098",0,106,110,0.477,0.423,41,28,7,14,0.475,0.409,39,21,10,11
"1099",1,118,102,0.494,0.393,45,31,9,6,0.494,0.7,40,29,4,11
"1100",1,97,90,0.481,0.308,35,26,6,6,0.436,0.345,42,18,4,13
"1101",1,106,98,0.455,0.4,50,28,11,14,0.471,0.3,45,24,6,16
"1102",1,103,74,0.477,0.269,52,24,11,12,0.373,0.154,40,20,8,16
"1103",0,98,110,0.41,0.375,42,20,9,15,0.506,0.5,35,31,7,15
"1104",1,109,103,0.519,0.526,42,26,7,13,0.483,0.375,36,24,6,10
"1105",1,95,89,0.438,0.524,46,22,8,15,0.393,0.32,50,26,9,15
"1106",0,95,102,0.438,0.371,37,28,8,14,0.488,0.5,47,23,8,16
"1107",0,87,98,0.425,0.364,40,20,3,13,0.5,0.273,45,21,8,6
"1108",1,109,91,0.477,0.167,51,17,8,11,0.417,0.182,40,17,8,13
"1109",0,91,94,0.389,0.25,51,12,9,18,0.418,0.375,40,20,8,17
"1110",1,105,102,0.466,0.25,43,16,7,7,0.407,0.409,46,14,2,8
"1111",1,96,87,0.44,0.24,50,14,7,15,0.386,0.321,43,19,10,13
"1112",0,91,96,0.357,0.233,43,22,6,6,0.436,0.313,47,21,4,9
"1113",1,118,107,0.47,0.318,44,18,10,11,0.454,0.304,49,19,3,16
"1114",0,121,127,0.451,0.4,46,16,8,14,0.506,0.361,35,33,9,12
"1115",1,122,95,0.545,0.684,42,22,11,12,0.419,0.412,38,27,9,14
"1116",1,120,105,0.551,0.5,43,23,7,18,0.439,0.407,30,16,13,14
"1117",1,113,80,0.542,0.414,44,25,8,10,0.344,0.231,46,16,6,16
"1118",1,128,84,0.576,0.542,48,28,14,12,0.398,0.25,38,21,7,18
"1119",0,112,116,0.432,0.406,33,22,8,7,0.476,0.438,48,21,4,14
"1120",1,124,110,0.494,0.444,42,25,5,8,0.511,0.321,43,19,3,13
"1121",1,122,100,0.519,0.56,46,26,7,14,0.472,0.167,37,27,8,11
"1122",0,121,125,0.547,0.476,28,20,7,9,0.535,0.44,44,26,6,14
"1123",1,116,104,0.462,0.444,48,19,13,13,0.396,0.286,52,20,9,16
"1124",1,101,93,0.396,0.381,45,14,10,4,0.466,0.35,46,16,2,18
"1125",0,122,129,0.538,0.44,39,19,7,17,0.517,0.289,39,27,9,15
"1126",1,114,106,0.471,0.455,50,17,9,17,0.471,0.333,33,21,7,14
"1127",1,132,113,0.536,0.393,49,21,7,8,0.465,0.472,35,26,5,11
"1128",1,116,101,0.494,0.364,42,21,9,10,0.417,0.414,41,21,7,14
"1129",0,103,115,0.398,0.259,35,19,9,9,0.506,0.409,45,20,6,15
"1130",0,106,108,0.452,0.24,45,10,9,13,0.447,0.292,36,20,7,12
"1131",1,102,86,0.44,0.4,47,20,9,14,0.388,0.304,43,19,6,19
"1132",0,113,114,0.456,0.429,40,19,8,11,0.532,0.435,36,25,6,12
"1133",1,108,106,0.457,0.323,54,19,5,14,0.426,0.4,47,17,11,11
"1134",1,118,109,0.488,0.417,47,20,6,9,0.467,0.371,39,24,7,9
"1135",0,101,102,0.507,0.5,38,18,4,9,0.429,0.258,41,12,8,7
"1136",1,90,85,0.381,0.375,46,19,8,14,0.421,0.342,44,21,9,17
"1137",1,107,97,0.494,0.333,41,15,7,9,0.423,0.316,36,19,4,11
"1138",1,112,106,0.538,0.35,39,16,7,10,0.443,0.429,39,16,6,9
"1139",0,96,105,0.367,0.35,50,11,8,11,0.476,0.36,44,32,6,12
"1140",1,100,78,0.474,0.36,55,19,7,12,0.365,0.28,34,21,4,7
"1141",0,102,123,0.457,0.25,32,15,10,14,0.534,0.56,47,33,10,18
"1142",1,116,91,0.495,0.444,51,25,7,16,0.413,0.261,33,22,7,13
"1143",1,122,120,0.495,0.348,50,18,6,16,0.467,0.378,39,25,9,14
"1144",1,131,112,0.59,0.667,43,24,7,15,0.489,0.2,33,19,11,11
"1145",0,106,110,0.458,0.355,44,23,4,13,0.453,0.5,38,23,6,8
"1146",1,111,100,0.451,0.519,53,23,7,14,0.414,0.423,42,19,7,13
"1147",1,113,105,0.541,0.316,37,25,12,15,0.45,0.306,37,25,8,19
"1148",1,96,94,0.412,0.45,44,14,10,15,0.398,0.348,44,16,10,19
"1149",1,96,89,0.413,0.24,47,14,4,14,0.381,0.391,43,16,6,14
"1150",1,97,81,0.455,0.48,41,18,6,12,0.429,0.269,36,18,4,12
"1151",0,86,100,0.375,0.423,42,15,7,12,0.446,0.3,49,17,9,11
"1152",0,96,102,0.479,0.286,29,17,8,8,0.474,0.381,44,13,4,16
"1153",0,77,85,0.385,0.2,48,11,4,13,0.367,0.294,46,8,7,8
"1154",1,108,83,0.494,0.308,51,19,4,14,0.318,0.333,49,14,5,10
"1155",1,95,68,0.438,0.294,55,17,9,16,0.313,0.32,40,11,8,14
"1156",1,120,101,0.554,0.536,40,23,4,8,0.407,0.367,38,14,5,7
"1157",0,110,111,0.548,0.567,31,24,5,11,0.512,0.421,40,16,7,6
"1158",1,105,98,0.449,0.36,40,20,8,9,0.446,0.542,37,19,7,14
"1159",1,112,105,0.493,0.444,35,23,7,15,0.464,0.333,41,14,5,17
"1160",0,99,106,0.416,0.263,46,20,8,15,0.488,0.414,47,26,10,16
"1161",1,104,84,0.481,0.448,54,23,9,22,0.378,0.346,34,17,10,10
"1162",1,109,89,0.583,0.565,38,22,4,14,0.366,0.316,38,14,4,9
"1163",1,103,100,0.569,0.364,41,18,4,16,0.455,0.429,27,18,9,6
"1164",0,93,94,0.446,0.333,43,19,7,11,0.459,0.476,41,13,5,10
"1165",0,98,104,0.443,0.37,40,21,7,16,0.531,0.381,36,12,12,10
"1166",1,100,83,0.479,0.577,43,21,9,14,0.402,0.25,41,16,6,15
"1167",1,91,86,0.479,0.4,46,17,3,15,0.414,0.412,41,9,6,9
"1168",1,100,92,0.481,0.382,46,22,8,18,0.365,0.29,42,15,6,16
"1169",1,110,77,0.538,0.516,47,22,10,12,0.395,0.353,35,15,5,13
"1170",1,114,107,0.494,0.269,44,28,6,13,0.463,0.353,40,23,10,14
"1171",1,109,100,0.464,0.25,42,24,11,14,0.506,0.5,36,17,10,16
"1172",0,95,97,0.429,0.238,42,16,10,10,0.434,0.3,45,17,6,10
"1173",1,96,88,0.407,0.231,44,13,7,8,0.429,0.286,48,13,5,12
"1174",0,95,102,0.468,0.4,31,19,3,13,0.513,0.423,31,13,8,7
"1175",1,104,88,0.462,0.379,46,22,11,15,0.438,0.391,39,19,10,17
"1176",1,105,98,0.469,0.394,51,16,5,13,0.427,0.394,38,20,7,9
"1177",0,104,112,0.407,0.258,39,16,9,9,0.592,0.433,37,20,6,16
"1178",0,72,88,0.322,0.174,49,14,5,10,0.444,0.36,49,16,7,13
"1179",1,111,88,0.519,0.5,46,19,9,14,0.405,0.409,41,14,9,16
"1180",0,80,107,0.389,0.211,46,18,6,14,0.5,0.5,48,23,11,10
"1181",1,112,97,0.514,0.462,45,25,7,13,0.404,0.233,42,12,6,12
"1182",1,88,83,0.407,0.37,46,16,10,19,0.357,0.303,47,16,11,20
"1183",1,114,108,0.526,0.667,42,22,1,7,0.5,0.4,28,16,4,6
"1184",1,108,101,0.456,0.25,48,18,5,8,0.475,0.429,36,19,5,11
"1185",1,108,100,0.482,0.556,49,27,6,10,0.463,0.4,37,17,7,9
"1186",1,95,88,0.458,0.4,42,20,9,10,0.402,0.294,45,12,8,14
"1187",1,106,87,0.527,0.565,47,21,4,14,0.398,0.231,29,10,8,7
"1188",1,120,113,0.6,0.56,33,29,8,14,0.494,0.438,34,22,11,12
"1189",1,101,97,0.506,0.385,36,24,10,16,0.453,0.381,42,16,12,15
"1190",0,103,113,0.583,0.3,36,21,8,20,0.558,0.4,31,21,16,13
"1191",1,95,92,0.388,0.25,46,13,7,19,0.386,0.2,47,22,12,18
"1192",0,106,114,0.415,0.37,45,20,12,13,0.519,0.459,37,28,6,18
"1193",1,118,93,0.5,0.476,54,29,9,11,0.432,0.323,31,21,5,11
"1194",0,94,105,0.437,0.2,46,16,7,15,0.419,0.424,47,16,9,15
"1195",1,119,112,0.543,0.6,37,26,7,15,0.477,0.414,36,23,9,13
"1196",0,111,114,0.472,0.407,40,22,9,11,0.506,0.481,47,21,6,16
"1197",1,106,101,0.407,0.357,45,25,8,11,0.429,0.407,52,22,3,21
"1198",0,100,112,0.477,0.273,40,21,11,12,0.533,0.375,38,22,7,14
"1199",1,101,95,0.412,0.4,49,22,11,23,0.409,0.143,44,20,15,20
"1200",0,116,124,0.473,0.478,42,20,5,10,0.518,0.462,43,24,7,11
"1201",1,92,85,0.449,0.316,35,21,11,18,0.408,0.219,45,24,8,27
"1202",1,110,105,0.455,0.381,40,29,10,9,0.506,0.52,40,22,1,20
"1203",1,109,106,0.517,0.278,41,27,15,14,0.514,0.424,33,25,7,18
"1204",1,122,108,0.571,0.48,36,30,6,5,0.488,0.357,40,22,3,9
"1205",1,117,110,0.531,0.526,33,24,10,15,0.494,0.292,40,28,7,15
"1206",1,107,102,0.506,0.414,40,29,7,16,0.46,0.3,42,27,8,13
"1207",1,111,105,0.487,0.364,54,21,8,18,0.443,0.393,34,24,10,13
"1208",1,118,95,0.566,0.5,44,28,12,19,0.432,0.4,32,18,9,21
"1209",1,112,105,0.582,0.545,33,31,3,13,0.477,0.389,38,22,6,10
"1210",1,101,99,0.506,0.5,42,24,8,21,0.398,0.37,44,19,10,17
"1211",1,109,93,0.484,0.471,50,18,9,11,0.414,0.323,49,20,6,16
"1212",1,120,101,0.488,0.565,51,26,10,12,0.42,0.308,45,22,6,15
"1213",1,104,101,0.45,0.276,45,27,7,11,0.398,0.32,45,20,8,12
"1214",1,123,108,0.571,0.45,43,21,7,15,0.452,0.303,32,24,10,13
"1215",1,117,101,0.557,0.318,46,27,4,12,0.366,0.208,51,18,8,12
"1216",1,116,108,0.458,0.364,45,27,11,10,0.46,0.308,47,19,6,20
"1217",1,105,91,0.458,0.323,46,20,10,12,0.44,0.294,42,18,4,15
"1218",0,135,140,0.505,0.414,43,29,9,12,0.533,0.5,46,31,7,20
"1219",1,112,107,0.466,0.345,46,29,8,11,0.489,0.19,42,29,3,11
"1220",1,120,98,0.575,0.65,40,27,4,22,0.354,0.206,47,16,10,15
"1221",0,92,102,0.425,0.364,28,21,16,16,0.472,0.458,50,18,10,24
"1222",1,112,108,0.451,0.429,46,29,11,19,0.464,0.276,41,28,10,19
"1223",0,106,114,0.37,0.333,45,23,8,11,0.506,0.44,51,16,5,17
"1224",1,115,114,0.481,0.538,38,26,9,12,0.494,0.4,43,16,9,14
"1225",0,107,112,0.488,0.4,42,30,4,12,0.506,0.438,40,24,5,10
"1226",1,112,107,0.455,0.385,40,34,5,10,0.5,0.259,53,28,5,18
"1227",1,104,100,0.4,0.324,54,23,9,19,0.395,0.32,44,20,11,16
"1228",1,129,108,0.505,0.385,46,29,9,10,0.524,0.2,38,24,5,14
"1229",1,118,111,0.506,0.5,36,31,10,12,0.506,0.353,37,21,5,16
"1230",0,103,106,0.481,0.364,44,21,7,19,0.463,0.389,36,23,13,13
